City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
95,mayumba,-3.432,10.6554,25.67,86,75,2.26,GA
96,upata,8.0086,-62.3989,27.88,63,88,3.63,VE
97,nishihara,26.1842,127.7558,18.6,97,100,5.66,JP
98,axim,4.8699,-2.2405,26.95,87,100,3.96,GH
99,port elizabeth,-33.918,25.5701,25.05,93,75,6.17,ZA
100,oriximina,-1.7656,-55.8661,24.63,92,62,1.55,BR
101,aklavik,68.2191,-135.0107,-37.47,97,46,0.54,CA
102,jamestown,42.097,-79.2353,6.8,52,100,6.69,US
103,pevek,69.7008,170.3133,-38.56,99,77,1.55,RU
104,el alto,-4.2714,-81.2147,28.81,66,16,4.87,PE
105,lac-megantic,45.5834,-70.8823,-2.47,83,100,3.69,CA
106,kodiak,57.79,-152.4072,3.73,100,100,7.2,US
107,gejiu,23.306,103.1635,7.48,95,64,2.01,CN
108,hovd,48.0056,91.6419,-16.13,77,2,1.7,MN
109,pitanga,-24.7572,-51.7614,19.75,85,75,1.6,BR
110,labuhan,-6.8844,112.2051,25.46,84,100,2.2,ID
111,diego de almagro,-26.3667,-70.05,26.9,34,38,6.34,CL
112,atuona,-9.8,-139.0333,25.72,81,33,8.08,PF
113,barrow,71.2906,-156.7887,-27.99,76,0,2.06,US
114,namibe,-15.1961,12.1522,21.93,78,51,3.04,AO
115,dikson,73.5069,80.5464,-20.2,98,100,1.16,RU
116,tuatapere,-46.1333,167.6833,14.58,91,86,5.75,NZ
117,la romana,18.4273,-68.9728,29.2,61,75,4.12,DO
118,mount isa,-20.7333,139.5,24.87,100,100,3.09,AU
119,mujiayingzi,42.1167,118.7833,-8.87,55,5,0.78,CN
120,turkistan,43.0,68.0,0.36,70,82,3.02,KZ
121,muravlenko,63.7898,74.523,-19.46,99,100,0.81,RU
122,vaitape,-16.5167,-151.75,27.43,74,17,6.37,PF
123,tuktoyaktuk,69.4541,-133.0374,-43.0,66,40,2.06,CA
124,upernavik,72.7868,-56.1549,-24.11,93,100,2.74,GL
125,hambantota,6.1241,81.1185,24.19,100,40,2.57,LK
126,cabadiangan,9.7531,122.4739,23.84,88,80,2.77,PH
127,omsukchan,62.5333,155.8,-38.5,98,81,2.05,RU
128,pacific grove,36.6177,-121.9166,13.82,76,75,7.2,US
129,ribeira grande,38.5167,-28.7,16.54,88,75,6.26,PT
130,boguchany,58.3814,97.4531,-19.43,100,100,1.53,RU
131,jalu,29.0331,21.5482,11.56,63,7,4.6,LY
132,alta floresta,-9.8756,-56.0861,25.9,78,20,2.57,BR
133,vostok,46.4856,135.8833,-22.44,99,98,1.91,RU
134,rawson,-43.3002,-65.1023,20.75,65,7,11.43,AR
135,quesnel,52.9999,-122.5029,6.28,70,100,3.6,CA
136,new norfolk,-42.7826,147.0587,17.06,64,100,1.34,AU
137,thinadhoo,0.5333,72.9333,26.93,69,100,3.5,MV
138,san vicente,-26.6167,-54.1333,23.64,45,51,0.96,AR
139,batagay,67.6333,134.6333,-41.9,99,98,1.0,RU
140,gongzhuling,43.5008,124.8198,-14.79,97,31,0.81,CN
141,beringovskiy,63.05,179.3167,-28.85,93,100,5.33,RU
142,bubaque,11.2833,-15.8333,24.69,62,51,6.23,GW
143,hit,33.6416,42.8251,12.79,50,100,4.97,IQ
144,longyearbyen,78.2186,15.6401,-2.09,74,75,9.26,SJ
145,santa cruz,-17.8,-63.1667,30.7,58,20,2.06,BO
146,lermontovka,47.1453,134.3383,-25.64,100,78,0.94,RU
